time_days,S,E,I,R,D,S_norm,E_norm,I_norm,R_norm,new_cases,total_cases,population
0,59999969.86312995,20.125828117366027,10.011041923233597,0.0,0.0,0.9999994977188326,3.354304686227671e-07,1.6685069872055995e-07,0.0,10.011041923233597,10.011041923233597,60000000.0
1,59999964.52809556,20.47651757477296,14.15214722098242,0.8432396430997671,0.0,0.9999994088015927,3.4127529291288263e-07,2.35869120349707e-07,1.4053994051662784e-08,4.98434494084859,14.995386864082187,60000000.0
2,59999960.800326206,21.580000329416595,15.618151057585717,2.0015224065575183,0.0,0.9999993466721034,3.596666721569433e-07,2.603025176264286e-07,3.335870677595864e-08,2.6242866000610494,17.619673464143236,60000000.0
3,59999952.5113947,25.48427001111469,18.625779232762664,3.378556065533646,0.0,0.9999992085232451,4.2473783351857814e-07,3.104296538793777e-07,5.63092677588941e-08,4.384661834153075,22.00433529829631,60000000.0
4,59999939.94170277,30.962794590712843,24.617080301035774,4.478422338938303,0.0,0.9999989990283795,5.160465765118807e-07,4.1028467168392955e-07,7.46403723156384e-08,7.091167341677767,29.09550263997408,60000000.0
5,59999927.63409925,37.81606521696684,27.72214932712461,6.827686203687755,0.0,0.9999987939016542,6.30267753616114e-07,4.6203582211874355e-07,1.1379477006146257e-07,5.4543328908382875,34.549835530812366,60000000.0
6,59999919.898745105,40.12398242182399,31.038474112814832,8.938798355208784,0.0,0.9999986649790851,6.687330403637331e-07,5.173079018802472e-07,1.4897997258681305e-07,5.427436937211247,39.977272468023614,60000000.0
7,59999902.99312559,47.694385321456295,37.72986430362065,11.582624789626518,0.0,0.9999983832187598,7.949064220242716e-07,6.288310717270109e-07,1.930437464937753e-07,9.335216625223552,49.312489093247166,60000000.0
8,59999878.944731005,57.38022002017964,47.58027918389455,16.09476978848606,0.0,0.9999979824121834,9.563370003363274e-07,7.930046530649091e-07,2.6824616314143437e-07,14.362559879133443,63.67504897238061,60000000.0
9,59999868.66632715,62.03087900577546,51.077094570267825,18.225699269200646,0.0,0.9999978111054525,1.033847983429591e-06,8.512849095044637e-07,3.037616544866774e-07,5.62774486708787,69.30279383946848,60000000.0
10,59999828.13408164,81.32532900808778,65.9958257296751,24.544763631481935,0.0,0.9999971355680273,1.3554221501347963e-06,1.0999304288279185e-06,4.0907939385803223e-07,21.237795521688554,90.54058936115703,60000000.0
11,59999788.282841064,102.28609385834453,79.70288772979224,29.72817734962031,0.0,0.9999964713806844,1.7047682309724088e-06,1.328381462163204e-06,4.954696224936719e-07,18.890475718255516,109.43106507941255,60000000.0
12,59999754.98886406,112.81393282499866,94.94497957810923,37.252223547196245,0.0,0.9999959164810676,1.8802322137499777e-06,1.5824163263018205e-06,6.208703924532707e-07,22.766138045892916,132.19720312530546,60000000.0
13,59999691.110800035,138.14077146829592,122.45638737687902,48.29204112189215,0.0,0.9999948518466673,2.3023461911382653e-06,2.0409397896146503e-06,8.048673520315358e-07,38.55122537346571,170.74842849877118,60000000.0
14,59999617.64485522,173.43477137016575,151.08451874762483,57.83585466614733,0.0,0.9999936274142537,2.890579522836096e-06,2.518075312460414e-06,9.639309111024554e-07,38.17194491500098,208.92037341377215,60000000.0
15,59999597.33231868,194.33166474604067,145.44831594669094,62.88770062941934,0.0,0.999993288871978,3.238861079100678e-06,2.424138599111516e-06,1.0481283438236557e-06,0.0,208.92037341377215,60000000.0
16,59999512.61324278,220.02226013932938,190.58661083818413,76.77788624070352,0.0,0.9999918768873797,3.667037668988823e-06,3.1764435139697354e-06,1.2796314373450588e-06,59.02848050277737,267.9488539165495,60000000.0
17,59999455.18859666,255.70534237193363,203.16061192347078,85.94544904661869,0.0,0.9999909198099443,4.261755706198894e-06,3.3860101987245132e-06,1.4324241507769782e-06,21.741563891201793,289.6904178077513,60000000.0
18,59999286.74364198,319.3640319756183,280.2935539632184,113.59877208614883,0.0,0.999988112394033,5.322733866260305e-06,4.671559232720307e-06,1.8933128681024804e-06,104.78626507927777,394.4766828870291,60000000.0
